Type de gestion,Arrondissement,Type accueil,Nombre de Places,Nom de la crèche,Adresse,Téléphone,Adresse mail,Site web,Latitude,Longitude
Gestion privée,13010,Micro crèches,10,TI'MOMES,46 rue Sainte Baume,09 54 58 83 93,,www.people-and-baby.com,43.286681,5.401131
Gestion privée,13010,Micro crèches,10,BB PITCHOUN LAZER,68 Boulevard Lazer,09 82 29 52 71,,,43.278191,5.40482
Gestion privée,13011,Micro crèches,10,LES PETITS GÉNIES,151 route des trois lucs à la valentine,04.86.97.49.62,,,43.304121,5.474259
Gestion privée,13011,Micro crèches,10,LUNA BANANA,25 Boulevard de Saint Marcel,09.84.46.88.09,,www.ub4kids.com,43.288678,5.456958
Gestion privée,13012,Micro crèches,10,TITI PANPAN 1,39 Rue Audric,04.91.34.99.40,,http://www.titi-panpan.fr,43.303892,5.42078
Gestion privée,13012,Micro crèches,10,TITI PANPAN 3,16 Rue du Dr Cauvin,09 84 49 14 46,,http://www.titi-panpan.fr,43.303168,5.417339
Gestion privée,13012,Micro crèches,10,LES MALICIEUX DE SAINT-BARNABE,47 Avenue Montaigne,,,www.crechesetmalices.com,43.304361,5.416136
Gestion privée,13013,Multi accueil,120,DEVORAH LEA,112 Boulevard Barry,04.91.06.00.61,,,43.319693,5.413818
Gestion privée,13013,Multi accueil,20,LA ROSE,29 Avenue des Olives,04.91.61.16.14,,,43.329224,5.43153
Gestion privée,13013,Micro crèches,10,LA CAPSULE,15 Rue Marc Donadille - Les Baronnies,04.91.95.17.18,,www.creche-attitude.fr,43.346039,5.431102
Gestion privée,13013,Multi accueil,28,LES PETITS CIGALONS,Hôpital Laveran 34 Bd Laveran,04 91 61 74 50,,,43.327135,5.413837
Gestion privée,13014,Multi accueil,40,LE PAVILLON VICTOR,29-31 Boulevard Charles Moretti,04.91.02.21.65,,,43.325034,5.382634
Gestion privée,13015,Multi accueil,72,CRECHE  HÔPITAL NORD,6 Chemin des Bourrely,04.91.96.80.95,,,43.377757,5.359978
Gestion privée,13015,Multi accueil,60,HOPITAL EDOUARD TOULOUSE,"118, Chemin de Mimet",04.91.96.98.76,,,43.381083,5.359606
Gestion privée,13016,Multi accueil,66,LES ENFANTS DE RIO TINTO,20 Rue Henry et Antoine Maurras,04.91.63.58.15,,,43.356676,5.339205
